TÍTULO,NOME COORDENADOR,CAMPUS
Jogos dos Institutos Federais do Norte de Minas Gerais,André Luiz Lacerda Souza,Pirapora
Jogos Escolares de Minas Gerais,André Luiz Lacerda Souza,Pirapora
Formalização e Capacitação de Microempreendedores Individuais (MEI) na microrregião de Pirapora - MG,Ralph José Neves dos Santos,Pirapora
Capoeira - Inclusão Através Arte,Maria Fernanda Freitas Braga,Pirapora
Capacitação do Setor Administrativo de Escolas Públicas de Pirapora-MG em Softwares de Auxílio às Rotinas de Trabalho,Tharley Eustáquio Da Mota Silva,Pirapora
Capacitação Docente em Escolas Públicas de Pirapora em Ferramentas Digitais Aplicadas ao Ensino,Tharley Eustáquio Da Mota Silva,Pirapora
Ifanfarra,Fernanda Antunes Almeida,Pirapora
Conteúdos de Geometria Analítica e Álgebra Linear no contexto da Engenharia Civil,Luciano Soares De Souza,Pirapora
Introdução à Informática básica para mulheres carentes,Emerson Maurício De Almeida Alves,Pirapora
Maiores Incidências de Reclamações Trabalhistas na Cidade de Pirapora-MG,Adler Augusto Rath,Pirapora
Reestruturação do Laboratório de Informática e Inclusão Digital Fundação Caio Martins de Buritizeiro,Vívian Ludmila Aguiar Santos,Pirapora
Projeto de Estruturação das bibliotecas Comunitárias Clube Tamboril,Leandro Teixeira Da Silva,Pirapora
Web Dev: Ensinando Desenvolvimento Web e Cultivando Grandes Talentos,Daniel Cosme Mendonça Maia,Pirapora
Adolescentes e Idosos: encontro de gerações por meio da arte,Maria do Socorro Vieira Barreto,Pirapora
Fundamentos de Matemática para o Processo Seletivo do IFNMG,Júlio César Pereira Braga,Pirapora
Fundamentos de Matemática para o Processo Seletivo no Ensino Superior,Daniel Guimarães Silva,Pirapora
Projeto Minicursos de Tecnologia,Daniel Brito Bulhões,Pirapora
Renovando a Autoestima Feminina,Rosemary Barbosa da Silva,Pirapora
Oficinas Histórias Encantantas de Pirapora,Rosemary Barbosa da Silva ,Pirapora
 Gestão Empresarial para Micro e Pequenos Empreendedores, Rosemary Barbosa da Silva,Pirapora
