TÍTULO,NOME COORDENADOR,CAMPUS
"Mapeamento da trilha do horto florestal do IEF, Januária - MG, com vista à prática de Educação Ambiental (EA)",Lília Betânia Reis Amaro,Januária
Bate-papo tecnológico,Joselice Ferreira Lima,Januária
Centro de línguas - CELIN,Paula Rodrigues Diamantino,Januária
Brincando com elementos químicos,Rita de Cásssia Moreira Freire,Januária
"Práticas pedagócicas de leitura , interpretação e produção de texto nas escolas de educação básica do município de januária",Ivy Daniela Monteiro Matos ,Januária
Iniciação e Práticas Musicais,Jaredel Reis Heredia ,Januária
"""130 anos de abolição:História de Luta e Resistência""",Gilmara Maria Rodrigues Casagrande,Januária
Ações de Extensão de Enfermagem ano 2018,  Fabíola Lima Escobar,Januária
Projeto Institucional de Sustentabilidade Ambiental - Eixo Resíduos Sólidos,Danilo Pereira Ribeiro,Januária
"Identidade, Memória e História das Gentes dos Vales, Montes e Sertões",Marli Silva Froes,Januária
Clube do Empreendedor,Felipe Augusto Oliveira Mota,Januária
Portfólio de Oportunidades,Erica Souza Tupina,Januária
Projeto Acompanhamento de Egressos,Aroldo Gomes Filho,Januária
"Produtos de limpeza artesanais: ""Empreendendo no lar""",Thalles de Assis Cardoso Gonçalves,Montes Claros
Capacitação Tecnológica para o 55BI,Julio Cesar Guedes Antunes,Montes Claros
Oficinas de Ciências: um despertar para o conhecimento,Cristina Jardim Rodrigues,Montes Claros
Matemática do Enem: somando pontos para sua aprovação,Valdomiro Rocha,Montes Claros
Ensino de Matemática para alunos de escola municipal de  Montes Claros: uma abordagem prática.,Saulo Fernando dos Santos Vidal,Montes Claros
Simulado Online - ferramenta pedagógica de apoio ao ensino,Caribe Zampirolli de Souza,Montes Claros
 Jogo Quiz - ferramenta pedagógica de apoio ao ensino,Caribe Zampirolli de Souza,Montes Claros
Programação e Robótica para crianças e adolescentes,Neila Marcelle Gualberto Leite,Montes Claros
A química por meio de experimentos lúdicos,Marcelo Moreira Freire,Montes Claros
Curso Básico de Produção de Cerveja Usando Módulo   Didático,Robson Antônio  de Vasconcelos,Montes Claros
Fomento à Capacitação para a Gestão Sustentável de  Pequenos   Negócios Envolvendo Hortifruti em Montes Claros,Pedro Henrique de Oliveira Gomes,Montes Claros
"Curso básico de desenho assistido por computador(Autocad, Sketchup e Revit)",Cabriella Novello de Andrade,Montes Claros
IF com Cinema,Julio Cesar Guedes Antunes,Montes Claros
"Festival Intercampi de Culturas: dos Vales, Montes e Sertões do IFNMG",Cabriella Novello de Andrade,Montes Claros
Clube do Empreendedor,Fernando Mota Ribeiro,Montes Claros
Acompanhamento de egressos e pré-egressos do Campus Montes Claros - IFNMG,Pedro Henrique de Oliveira Gomes,Montes Claros
Redirecionamento de resíduos do IFNMG - Campus Montes Claros,Pedro Henrique de Oliveira Gomes,Montes Claros
Portfólio de Oportunidades do IFNMG,Marcos Aurelio Duarte Carvalho,Montes Claros
Encontro das Tribos,Saulo Fernando dos Santos Vidal,Montes Claros
Pré Técnico 2018,Mario Sergio Costa da Silveira,Montes Claros
Adolescentes e Idosos: Encontro de gerações por meio de atividades artísticas,Maria do Socorro Vieira Barreto,Pirapora
Preparando para o ENEM 2018: Revisando conceitos da física do ensino médio.,Maria Neuza Almeida Queiroz,Pirapora
Capoeira: Inclusão pela arte,Maria Fernanda Freitas Braga,Pirapora
Preparação para o Enem-2018: Revisando conceitos de Língua Portuguesa para o Ensino Médio,Talita Aparecidada Guarda,Pirapora
Programa Forças no Esporte (PROFESP)- Reforço de Língua Portuguesa para o Ensino Fundamental,Talita Aparecida da Guarda,Pirapora
Programa Forças no Esporte (PROFESP)- Reforço de Matemática para o Ensino Fundamental,Daniel Guimaraes Silva,Pirapora
Acompanhamento de egressos dos cursos técnicos Integrados do IFNMG - Campus Pirapora,Josue Batista Antunes,Pirapora
Articulando teoria e prática no ensino de ciências,Glayton Andrade Souza,Pirapora
Preparando para o enem 2018: Revisando conceitos de matemática para o ensino médio,Daniel Guimaraes Silva,Pirapora
Capacitação no uso avançado de planilhas para gestão de empresas,Tharley Eustaquio da Mota Silva,Pirapora
Criação do Sistema de Gestão do Portfólio de Oportunidades,Alessandro Carneiro Ribeiro,Pirapora
IFanfarra,Walkyr Gomes Marra,Pirapora
Preparando para o ENEM 2018: Revisando conceitos e resolvendo questões de química,Glayton Andrade Souza,Pirapora
Recycle - Recondicionamento e descarte de lixo eletrônico,Daniel Brito Bulhões,Pirapora
Cine Clube Brava Gente,Fernanda Antunes Almeida,Pirapora
Classificação e Quantificação de Resíduos Gerados no Ifnmg Campus Pirapora ,Frank Alison de Carvalho ,Pirapora
Sustentabilidade Ambiental no Âmbito no Centro de Referência de Corinto - Eixo Resíduos Sólidos ,Willy de Oliveira ,Pirapora
" II Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Eliane da Silva Magalhaes Almeida ,Pirapora
Clube do Empreendedor do IFNMG,Jelson Luiz Dick ,Pirapora
O Projeto Acompanhamento de Egressos,Walkyr Gomes Marra ,Pirapora
Portfólio de Oportunidades,Alessandro Carneiro Ribeiro,Pirapora
Capacitação em Ferramentas de Edição e Administrativas da Plataforma Google,Tharley Eustaquio da Mota Silva,Pirapora
Reforço de Língua Portuguesa e atividades culturais para os adolescentes abrigados no abrigo municipal de Pirapora/MG,Clodoaldo Roberto Alves,Pirapora
