Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Januária,A Cachaça Artesanal Enquanto Patrimônio Territorial do Norte de Minas Gerais: A Região de Brejo do Amparo Distrito de Januária – MG,Angélica Borges dos Santos
Januária,Construção de um Espectroscópio de Rede de Difração,Caio Bruno Wetterich
Januária,Limites e Possibilidades do Uso da Plataforma Scratch no Ensino de Programação para Crianças do Ensino Fundamental,Josué Antunes de Macêdo 
Januária,Parâmetros Microbiológicos e Físico – Químicos da Água do Rio São Francisco no Município de Januária-MG,Vitor Hugo Henriques de Almeida
Januária,Diversos Olhares sobre o PIBID no Subprojeto de Biologia do IFNMG/Campus Januária,Joelma de Fátima Mendes Bandeira
Januária,Blended Learning: O Uso da Sala de Aula Invertida no Curso Técnico em Informática do IFNMG Campus Januária,Gustavo Linhares Lel is Frota
Januária,O Ensino de Ciências no Anos Iniciais do Ensino Médio,Joelma de Fátima Mendes Bandeira
Januária,Análise Quantitativa das Águas Residuárias dos Condicionadores de Ar do IFNMG – Campus Januária,Jonathan Rodrigues Azevedo
Januária,Farelo de Algodão e Suplementação Enzimática em Dietas de Galinhas Poedeiras ,Wagner Aziz Garcia de Oliveira
Januária,"Desempenho Agronômico de Linhagens do Feijão Fradinho( Vigna Unguilata) em Januária, Norte de Minas Gerais",Claubert Wagner Guimarães de Menezes
Januária,Avaliação do Hidrogel Natural da Espécie Nativa Magoniapubescens A.St. Hil para Produção de Mudas de Espécies Arbóreas em Região Semiárida ,Danilo Pereira Ribeiro
Januária,"Raças Regionais e o Porco do Serrado, sob Sistema Convencional e SISCAL ",Wagner Aziz Garcia de Oliveira
Januária,Integração Entre a Linguagem Scratch e a Plataforma Arduíno no Ensino de Geometria Plana,Josué Antunes de Macêdo 
Januária,Avaliação de Sistemas de Ansiedade de Depressão em Alunos do Ensino Médio Integrado,Patrícia de Sousa Fernandes Queiroz 
Januária,Montagem e Validação de um Rastreador Solar Microcontrolado ,Edinei Canuto Paiva
Januária,Desenvolvimento de um Mapa Geológico do Solo do IFNMG - Campus Januária ,Matheus Silveira Borges
Januária,Aproveitamento e Caracterização de Água de Condicionadores de Ar para Uso Laboratorial e Outros Fins Específicos ,Daniel Meira de Oliveira
Januária,O Ensino de Ciências nos Anos Finais do Ensino Fundamental,Joelma de Fátima Mendes Bandeira
Januária,Efeito da Utilização de Urina de Vaca em Adubação Complementar em Alface,Nelson Licínio Campos de Oliveira
Januária,Desempenho de Cultivares de Alface Tipo Crespa Sob Sistema Orgânico em Januária-MG,Nelson Licínio Campos de Oliveira
Januária,Análise Comparativa do índice Firjan de Desenvolvimento Municipal (IFDM) da Microrregião de Januária – MG,Eduardo Cabral da Cruz
Januária,Aprendendo Matemática Através de Fractais,Gustavo Pereira Gomes
Januária,"Classificação, Portabilidade e índice de Qualidade de Água de um Curso Hídrico na Bacia do Médio São Francisco",Antônio Fábio Silva Santos
Januária,Avaliação da Sensibilidade ao Sabor Amargo da Feniltiocarbamida (PTC) Na Comunidade Acadêmica do IFNMG/Campus Januária e Sua Correlação Com Hábitos Alimentares,Luiz Carlos Ferreira
Januária,Construção de Spputering de Baixo Custo,Edinei Canuto Paiva
Januária,Aproveitamento de Resíduos de Construção Civil e Demolição como Agregado em Concreto,Karla Ulisses Lima
Januária,Simulador de Altitude para Ciclismo,Caio Bruno Wetterich
